file,z,group
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.113558,G4
rubies-uds1-v4_prism-clear_4233_928474.spec.fits,6.929497,G5
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.9519691,G2
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717405,G2
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.151636,G2
rubies-uds22-v4_prism-clear_4233_139709.spec.fits,5.68399,G6
rubies-uds23-v4_prism-clear_4233_144195.spec.fits,3.3547552,G4
rubies-uds23-v4_prism-clear_4233_167741.spec.fits,4.1157036,G1
rubies-uds23-v4_prism-clear_4233_172350.spec.fits,5.5864534,G2
rubies-uds23-v4_prism-clear_4233_981721.spec.fits,7.206081,G5
rubies-uds3-v4_prism-clear_4233_47509.spec.fits,5.671981,G1
rubies-uds3-v4_prism-clear_4233_50716.spec.fits,6.170604,G2
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,3.548925327627479,G4
rubies-uds31-v4_prism-clear_4233_981721.spec.fits,7.1974497,G5
rubies-uds33-v4_prism-clear_4233_29813.spec.fits,5.442071,G1
rubies-uds33-v4_prism-clear_4233_53692.spec.fits,5.2792883,G2
rubies-uds42-v4_prism-clear_4233_23438.spec.fits,3.6860464,G2
rubies-uds42-v4_prism-clear_4233_807469.spec.fits,6.7795324,G6
rubies-uds43-v4_prism-clear_4233_40800.spec.fits,4.982409,G5
rubies-uds43-v4_prism-clear_4233_848745.spec.fits,7.1175017,G5
rxj2129-ddt-v4_prism-clear_2767_11024.spec.fits,4.2948875,G5
uncover-61-v4_prism-clear_2561_20698.spec.fits,2.417316,G4
uncover-61-v4_prism-clear_2561_21547.spec.fits,5.0578914,G2
uncover-61-v4_prism-clear_2561_24968.spec.fits,6.3467827,G1
uncover-61-v4_prism-clear_2561_27114.spec.fits,5.1957436,G4
uncover-62-v4_prism-clear_2561_24175.spec.fits,7.0356536,G4
uncover-62-v4_prism-clear_2561_58453.spec.fits,4.471244,G4
uncover-v4_prism-clear_2561_13123.spec.fits,7.0370483,G3
uncover-v4_prism-clear_2561_15383.spec.fits,7.037048,G3
uncover-v4_prism-clear_2561_16594.spec.fits,7.0346375,G3
uncover-v4_prism-clear_2561_20466.spec.fits,8.509481,G2
uncover-v4_prism-clear_2561_28876.spec.fits,7.0362444,G2
uncover-v4_prism-clear_2561_38108.spec.fits,4.968462,G1
uncover-v4_prism-clear_2561_4286.spec.fits,5.8352246,G2
uncover-v4_prism-clear_2561_45924.spec.fits,4.463361263885918,G4
uncover-v4_prism-clear_2561_49702.spec.fits,4.866683,G5
