file,z,normalized,norm_factor,norm_window_min,norm_window_max,norm_error,err_norm_mean,err_norm_median
gto-wide-uds13-v4_prism-clear_1215_4273.spec.fits,4.053912,True,2.677449627980689e-20,0.3446,0.3646,,0.5443399145659317,0.5461338815793294
gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,4.68347,True,4.773664573686636e-20,0.3446,0.3646,,0.16045220014546632,0.1546528042982876
jades-gdn-v4_prism-clear_1181_39353.spec.fits,4.8533993,True,1.3310865989748978e-20,0.3446,0.3646,,0.5958841016084199,0.6219131853133721
jades-gdn-v4_prism-clear_1181_53501.spec.fits,3.43598,True,2.7370021740176686e-20,0.3446,0.3646,,0.319396923095307,0.3146761783219506
jades-gdn-v4_prism-clear_1181_68797.spec.fits,5.043335,True,3.633318876170913e-20,0.3446,0.3646,,0.18077405659815549,0.17246305694695374
jades-gdn09-v4_prism-clear_1181_73488.spec.fits,4.130943,True,2.329416861404108e-20,0.3446,0.3646,,0.13379531246645338,0.13397283691996925
jades-gdn11-v4_prism-clear_1181_4685.spec.fits,7.4159017,True,2.2520166319037596e-21,0.3446,0.3646,,1.666004704447146,1.6677754344207352
jades-gdn198-v4_prism-clear_1181_39353.spec.fits,4.85197,True,1.2898751152545328e-20,0.3446,0.3646,,0.4997674772232011,0.4939798749664304
jades-gdn198-v4_prism-clear_1181_53501.spec.fits,3.43611,True,4.2329142329113344e-20,0.3446,0.3646,,0.1713742812990143,0.17168840520408127
jades-gdn198-v4_prism-clear_1181_68797.spec.fits,5.0410485,True,4.0750334878419776e-20,0.3446,0.3646,,0.10708260590629166,0.10466019052545383
jades-gdn2-v4_prism-clear_1181_28074.spec.fits,2.2734878,True,3.184925070325716e-19,0.3446,0.3646,,0.018245759956987878,0.018131218287267235
jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.8245463,True,1.7690102316350448e-20,0.3446,0.3646,,0.3438753203393064,0.3497590767188171
jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.1927059,True,2.4569019885216735e-20,0.3446,0.3646,,0.2869131264797102,0.2909352146823592
jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935016,True,2.6090307072522023e-20,0.3446,0.3646,,0.30522769524570953,0.290427605307658
jades-gds-wide2-v4_prism-clear_1180_b398.spec.fits,7.24752023960155,False,,,,Invalid normalization factor,,
jades-gds02-v4_prism-clear_1286_38562.spec.fits,4.8218217,True,2.2961824342011517e-20,0.3446,0.3646,,0.14965917872991374,0.14888873897555402
jades-gds05-v4_prism-clear_1286_204851.spec.fits,5.485453,True,1.59553750441446e-20,0.3446,0.3646,,0.3258025517057853,0.32464487532641867
jades-gds06-v4_prism-clear_1286_159717.spec.fits,5.074387,True,2.1098385164817813e-20,0.3446,0.3646,,0.16284191320082736,0.1630073042094479
macs0416-v4_prism-clear_1208_3104035.spec.fits,5.006783,True,6.949551516977705e-21,0.3446,0.3646,,0.8420806858933877,0.8501676834635312
macs0416-v4_prism-clear_1208_3104219.spec.fits,6.414142,True,8.517997396818684e-21,0.3446,0.3646,,1.0353530055045428,1.0316890064920643
macs0417-v4_prism-clear_1208_205006.spec.fits,5.621284,True,8.924222841763142e-21,0.3446,0.3646,,0.8980279736447454,0.8988430294441394
macs1423-v4_prism-clear_1208_4103248.spec.fits,5.774661,True,1.0361380462731638e-20,0.3446,0.3646,,0.5479943564961559,0.5598210493647128
macs1423-v4_prism-clear_1208_4111584.spec.fits,4.0656843,True,7.675337009795911e-21,0.3446,0.3646,,0.8817587007220732,0.8860405549746555
macsj0647-v4_prism-clear_1433_1045.spec.fits,4.5276384,True,4.362291754479867e-20,0.3446,0.3646,,0.10820564837608913,0.10578315593265793
nexus-obs3-v4_prism-clear_5105_10835.spec.fits,4.65012,True,4.304811632051769e-21,0.3446,0.3646,,2.7178139679822295,2.666168135363346
nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.38856,True,1.745469021406187e-20,0.3446,0.3646,,0.5961335891188382,0.5886252166641511
nexus-obs3-v4_prism-clear_5105_12143.spec.fits,5.86735,True,1.9700586126561634e-20,0.3446,0.3646,,0.6724947380364709,0.6543491512062399
nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.67055,True,3.011222079641763e-20,0.3446,0.3646,,0.33399677180787524,0.33012872080181804
nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.52104729497047,True,5.753978946783034e-20,0.3446,0.3646,,0.2212719937115314,0.2236049907344927
nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.86932,True,7.75036968676678e-20,0.3446,0.3646,,0.17226996159883456,0.15760994756747948
nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.42207,True,1.4707574062335288e-20,0.3446,0.3646,,0.6925400421143473,0.64635266934483
nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.21512,True,4.4135048732616676e-20,0.3446,0.3646,,0.3658440635389394,0.34834408041699405
nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.86941,True,3.476712596704983e-20,0.3446,0.3646,,0.3333379085602249,0.33587473766956943
rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.2878757,True,1.0235453081554391e-20,0.3446,0.3646,,0.5038210923073746,0.5139236465734919
rubies-egs51-v4_prism-clear_4233_927271.spec.fits,6.788556,True,8.915712763719683e-21,0.3446,0.3646,,0.5749995377303123,0.569791186955832
rubies-egs52-v4_prism-clear_4233_29489.spec.fits,4.542522,True,9.06978237247587e-21,0.3446,0.3646,,0.8582345560937802,0.8463229513833086
rubies-egs52-v4_prism-clear_4233_37124.spec.fits,5.68516,False,,,,Invalid normalization factor,,
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.2845182,True,3.930824189166931e-20,0.3446,0.3646,,0.17855075332163342,0.1755853898430937
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.988607,True,3.603099112351212e-20,0.3446,0.3646,,0.17589228655269437,0.17918378041216496
rubies-egs61-v4_prism-clear_4233_61496.spec.fits,5.083718,True,8.686569168649866e-21,0.3446,0.3646,,0.7502036714162003,0.7333992470295364
rubies-egs61-v4_prism-clear_4233_952625.spec.fits,5.1085505,True,2.451059196268152e-21,0.3446,0.3646,,2.9374216193518263,2.8828867546158405
rubies-egs62-v4_prism-clear_4233_42232.spec.fits,4.9565415,True,1.557747466148192e-20,0.3446,0.3646,,0.5376989305838321,0.5262938714890114
rubies-egs62-v4_prism-clear_4233_948917.spec.fits,6.7316566,True,2.1209992348287082e-20,0.3446,0.3646,,0.30981373995142975,0.3133225096064934
rubies-egs63-v4_prism-clear_4233_28812.spec.fits,4.228986,True,1.410101699157352e-20,0.3446,0.3646,,0.679620461711354,0.6660044030702528
rubies-egs63-v4_prism-clear_4233_38434.spec.fits,2.8590343,True,1.0287440613234951e-20,0.3446,0.3646,,0.8372490343518314,0.8349321697722314
rubies-egs63-v4_prism-clear_4233_42232.spec.fits,4.954755,True,1.490040069071777e-20,0.3446,0.3646,,0.4508976486351009,0.4452142643435843
rubies-egs63-v4_prism-clear_4233_42803.spec.fits,7.1516957,True,4.862565605244088e-21,0.3446,0.3646,,1.1382372387037025,1.0896045180894194
rubies-egs63-v4_prism-clear_4233_49140.spec.fits,6.6877327,True,3.2753659351416544e-20,0.3446,0.3646,,0.14993056394436163,0.1472809223599953
rubies-uds1-v4_prism-clear_4233_11917.spec.fits,2.5857115,True,1.2717137420159714e-20,0.3446,0.3646,,0.6795092113749246,0.668159784741148
rubies-uds1-v4_prism-clear_4233_31747.spec.fits,4.129401,True,1.5189889009388216e-20,0.3446,0.3646,,0.47280571644028124,0.47531143710549606
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.113558,True,7.074874380389922e-20,0.3446,0.3646,,0.11938701695487405,0.12074704235645187
rubies-uds1-v4_prism-clear_4233_928474.spec.fits,6.929497,True,6.154716724041361e-21,0.3446,0.3646,,1.9870441064543494,1.9611131719755115
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.9519691,True,2.3822095627466717e-20,0.3446,0.3646,,0.4083625122158192,0.39979780149362715
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717405,True,3.640540856702293e-20,0.3446,0.3646,,0.1920332341678688,0.19213859727350002
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.151636,True,6.96225349962638e-21,0.3446,0.3646,,0.94977038338573,0.9433291020202963
rubies-uds22-v4_prism-clear_4233_139709.spec.fits,5.68399,False,,,,Invalid normalization factor,,
