file,z,grading
gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,4.68347,yes
jades-gdn-v4_prism-clear_1181_39353.spec.fits,4.8533993,yes
jades-gdn-v4_prism-clear_1181_53501.spec.fits,3.43598,yes
jades-gdn-v4_prism-clear_1181_68797.spec.fits,5.043335,yes
jades-gdn09-v4_prism-clear_1181_73488.spec.fits,4.130943,yes
jades-gdn11-v4_prism-clear_1181_4685.spec.fits,7.4159017,yes
jades-gdn198-v4_prism-clear_1181_39353.spec.fits,4.85197,yes
jades-gdn198-v4_prism-clear_1181_53501.spec.fits,3.43611,yes
jades-gdn198-v4_prism-clear_1181_68797.spec.fits,5.0410485,yes
jades-gdn2-v4_prism-clear_1181_28074.spec.fits,2.2734878,yes
jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.8245463,yes
jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.1927059,yes
jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935016,yes
jades-gds-wide2-v4_prism-clear_1180_b398.spec.fits,7.24752023960155,no
jades-gds02-v4_prism-clear_1286_38562.spec.fits,4.8218217,yes
jades-gds05-v4_prism-clear_1286_204851.spec.fits,5.485453,yes
jades-gds06-v4_prism-clear_1286_159717.spec.fits,5.074387,yes
macs0416-v4_prism-clear_1208_3104035.spec.fits,5.006783,yes
macs0416-v4_prism-clear_1208_3104219.spec.fits,6.414142,no
macs0417-v4_prism-clear_1208_205006.spec.fits,5.621284,no
macs1423-v4_prism-clear_1208_4103248.spec.fits,5.774661,no
macs1423-v4_prism-clear_1208_4111584.spec.fits,4.0656843,no
macsj0647-v4_prism-clear_1433_1045.spec.fits,4.5276384,yes
nexus-obs3-v4_prism-clear_5105_10835.spec.fits,4.65012,no
nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.38856,no
nexus-obs3-v4_prism-clear_5105_12143.spec.fits,5.86735,no
nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.67055,no
nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.52104729497047,no
nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.86932,no
nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.42207,no
nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.21512,no
nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.86941,no
