filename,z,norm_factor,Ha_Hb_ratio,Ha_Hb_ratio_err,logL5100,logL5100_err,OIII_Hbeta_ratio,OIII_Hbeta_ratio_err,F2000N,F2000N_err,F5500N,F5500N_err,bin,absorption,absorption_ref
jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.825,1.77e-20,10.9,1.2,43.7559,0.0073,0.232,0.065,1.66,0.78,2.67,0.27,B3,False,
jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.193,2.46e-20,11.13,0.92,43.6222,0.004,1.23,0.11,1.89,0.94,3.96,0.18,B4,False,
jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935,2.61e-20,5.8,0.49,43.234,0.014,6.51,0.57,2.96,0.73,0.91,0.14,B1,False,
jades-gds02-v4_prism-clear_1286_38562.spec.fits,4.822,2.30e-20,6.75,0.3,43.114,0.017,6.14,0.28,2.44,0.34,0.5,0.086,B1,False,
jades-gds05-v4_prism-clear_1286_204851.spec.fits,5.485,1.60e-20,7.68,0.28,43.542,0.01,4.4,0.17,2.41,0.76,1.43,0.23,B2,True,'Juodžbalis et al. (2026) (5664-GS-13971)'
jades-gds06-v4_prism-clear_1286_159717.spec.fits,5.074,2.11e-20,16.64,0.94,43.4642,0.0062,4.39,0.25,2.26,0.35,1.15,0.11,B1,True,'Juodžbalis et al. (2026)'
macs0416-v4_prism-clear_1208_3104035.spec.fits,5.007,6.95e-21,6.08,0.44,43.247,0.016,4.05,0.32,3.1,2.1,2.29,0.54,B2,False,
macs1423-v4_prism-clear_1208_4103248.spec.fits,5.775,1.04e-20,10.2,1.3,43.598,0.011,2.52,0.36,2.7,1.2,2.21,0.46,B2,False,
macsj0647-v4_prism-clear_1433_1045.spec.fits,4.528,4.36e-20,7.16,0.2,43.4542,0.008,5.43,0.17,2.12,0.25,0.704,0.068,B1,False,
mom-uds01-v4_prism-clear_5224_149501.spec.fits,3.966,3.25e-20,6.9,0.25,43.1113,0.0093,6.17,0.24,3.06,0.23,0.576,0.04,B1,False,
mom-uds01-v4_prism-clear_5224_150135.spec.fits,7.764,3.61e-21,,,44.217,0.003,,,2.5,1.7,12.4,1.1,B5,True,'Naidu et al. (2025)'
mom-uds02-v4_prism-clear_5224_920396.spec.fits,7.098,1.19e-20,10.57,0.45,43.6572,0.0059,4.18,0.19,2.62,0.48,1.24,0.21,B1,False,
nexus-obs3-v4_prism-clear_5105_10835.spec.fits,4.65,4.30e-21,12.8,1.7,43.581,0.014,1.48,0.22,7.6,6.0,8.0,2.1,B5,False,
nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.389,1.75e-20,8.3,1.7,43.595,0.014,3.78,0.8,1.0,1.4,2.6,0.39,B3,False,
nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.671,3.01e-20,8.74,0.89,43.385,0.014,3.87,0.41,3.44,0.98,1.34,0.19,B2,False,
nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.521,5.75e-20,10.32,0.66,44.3549,0.0034,0.748,0.065,2.04,0.5,3.84,0.2,B4,False,
nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.869,7.75e-20,7.14,0.57,43.6004,0.0076,3.21,0.28,3.0,0.64,1.47,0.11,B2,False,
nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.422,1.47e-20,17.4,1.6,43.6772,0.0084,2.02,0.19,2.8,1.7,3.5,0.46,B3,False,
nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.215,4.41e-20,12.5,2.5,43.316,0.02,5.2,1.1,2.4,1.2,1.2,0.2,B1,False,
nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.869,3.48e-20,12.4,1.2,44.2607,0.0064,0.696,0.096,1.74,0.64,2.69,0.38,B3,False,
rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.288,1.02e-20,9.74,0.71,43.263,0.021,4.3,0.33,2.1,1.2,1.09,0.36,B1,False,
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.285,3.93e-20,10.07,0.31,44.1242,0.0037,0.509,0.021,1.44,0.33,2.24,0.15,B2,True,'Rusakov et al. (2026); Juodžbalis et al. (2026)'
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.989,3.60e-20,11.37,0.31,44.375,0.0039,1.02,0.034,2.51,0.39,2.24,0.22,B2,True,"'The Sneppen et al. (2026) Sample (""Inside the Cocoon""); Juodžbalis et al. (2026)'"
rubies-egs61-v4_prism-clear_4233_61496.spec.fits,5.084,8.69e-21,8.0,1.2,43.363,0.018,0.98,0.18,3.4,1.7,1.91,0.58,B2,False,
rubies-uds1-v4_prism-clear_4233_31747.spec.fits,4.129,1.52e-20,9.0,1.3,43.5103,0.0082,0.99,0.19,1.0,1.3,2.67,0.26,B3,False,
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.114,7.07e-20,13.21,0.64,44.1375,0.0019,1.0,0.062,1.02,0.39,5.22,0.11,B5,True,'Wang et al. (2026)'
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.952,2.38e-20,6.6,1.3,42.966,0.019,3.64,0.76,2.7,1.4,1.29,0.21,B2,False,
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717,3.64e-20,9.64,0.62,43.6509,0.0075,4.14,0.28,1.99,0.45,1.06,0.13,B1,True,'Juodžbalis et al. (2026)'
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.152,6.96e-21,8.07,0.74,43.209,0.019,5.77,0.55,3.4,2.6,2.88,0.5,B3,False,
rubies-uds23-v4_prism-clear_4233_144195.spec.fits,3.355,1.15e-20,12.3,2.4,43.5533,0.0056,0.78,0.22,3.9,2.3,6.32,0.4,B5,False,
rubies-uds23-v4_prism-clear_4233_172350.spec.fits,5.586,1.48e-20,13.7,1.5,43.6614,0.0089,1.58,0.19,1.3,1.1,1.85,0.31,B2,False,
rubies-uds3-v4_prism-clear_4233_47509.spec.fits,5.672,2.60e-20,7.46,0.44,43.639,0.013,5.32,0.33,2.72,0.66,0.89,0.21,B1,False,
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,3.549,8.32e-21,9.4,1.1,43.8959,0.003,0.159,0.069,2.3,2.7,17.49,0.69,B5,True,'Ivey et al. (2026)'
rubies-uds42-v4_prism-clear_4233_23438.spec.fits,3.686,2.43e-20,6.4,1.2,43.234,0.018,4.59,0.87,2.5,1.1,1.17,0.22,B1,False,
uncover-61-v4_prism-clear_2561_20698.spec.fits,2.417,3.26e-20,7.2,0.89,43.0371,0.0038,3.47,0.46,2.48,0.49,1.819,0.071,B2,False,
uncover-61-v4_prism-clear_2561_21547.spec.fits,5.058,2.87e-20,10.09,0.54,43.8605,0.0027,4.56,0.26,1.91,0.18,1.968,0.066,B2,False,
uncover-61-v4_prism-clear_2561_24968.spec.fits,6.347,8.99e-21,10.38,0.72,43.4286,0.009,3.0,0.22,3.33,0.7,1.35,0.25,B2,False,
uncover-61-v4_prism-clear_2561_27114.spec.fits,5.196,5.77e-21,7.5,2.0,43.277,0.011,1.9,0.54,1.6,1.4,2.69,0.4,B3,False,
uncover-v4_prism-clear_2561_45924.spec.fits,4.463,1.37e-19,7.79,0.32,44.67549,0.00023,0.963,0.051,1.876,0.025,3.433,0.014,B3,False,
uncover-v4_prism-clear_2561_28876.spec.fits,7.036,4.46e-21,7.38,0.67,43.422,0.011,0.297,0.057,2.9,1.3,1.92,0.57,B2,False,
uncover-v4_prism-clear_2561_38108.spec.fits,4.968,1.53e-20,10.32,0.82,43.3544,0.0067,2.52,0.21,3.19,0.42,1.18,0.12,B1,False,
uncover-v4_prism-clear_2561_4286.spec.fits,5.835,1.48e-20,10.35,0.46,43.7402,0.0048,2.76,0.13,2.38,0.44,2.11,0.19,B2,False,
uncover-v4_prism-clear_2561_49702.spec.fits,4.867,4.35e-21,7.12,0.96,43.06,0.012,2.4,0.35,3.9,1.5,2.13,0.39,B2,False,
uncover-v4_prism-clear_2561_13123.spec.fits,7.037,7.83e-21,8.21,0.46,43.9774,0.0021,0.139,0.038,2.78,0.38,4.34,0.2,B4,True,'BlackTHUNDER strikes twice (D'Eugenio et al. 2026)'
