,file,z,normalized,norm_factor,norm_error,median_flux_1500A,window_at_1500A,points_within_window1500A,median_flux_1900A,window_at_1900A,points_within_window1900A,median_flux_5500A,window_at_5500A,points_within_window5500A
89,/content/LRDs/DeGraaff_espectros/uncover-61-v4_prism-clear_2561_27114.spec.fits,5.1957436,True,3.3310248911597338e-21,,3.516206490419029,300.0,16.0,2.2770823958277515,300.0,11.0,4.927170455768749,200.00000000000017,11.0
90,/content/LRDs/DeGraaff_espectros/uncover-62-v4_prism-clear_2561_24175.spec.fits,7.0356536,True,6.6344781864766366e-21,,3.5934050799818356,300.0,14.0,2.5758082423547757,300.0,12.0,5.446346783330272,200.00000000000017,18.0
91,/content/LRDs/DeGraaff_espectros/uncover-62-v4_prism-clear_2561_58453.spec.fits,4.471244,True,1.1536981318732858e-19,,2.1964493652058215,300.0,18.0,2.2419835413841502,300.0,12.0,3.119101430024405,200.00000000000017,8.0
92,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_13123.spec.fits,7.0370483,True,8.439067529933823e-21,,4.566230693201997,300.0,14.0,3.000218739366483,300.0,12.0,4.031358267338147,200.00000000000017,18.0
93,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_15383.spec.fits,7.037048,True,1.1972818545049248e-20,,4.770462070346184,300.0,14.0,3.3064486704197824,300.0,12.0,3.224314927428904,200.00000000000017,18.0
94,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_16594.spec.fits,7.0346375,True,3.1932668653501465e-21,,4.2418400354567165,300.0,14.0,2.936078035539473,300.0,12.0,3.756282442175168,200.00000000000017,18.0
95,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_20466.spec.fits,8.509481,True,9.893854220989025e-21,,1.5277941260246548,300.0,15.0,1.3560807294510415,300.0,15.0,1.1786602563530415,200.00000000000017,26.0
96,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_28876.spec.fits,7.0362444,True,4.466745402406826e-21,,4.077499829745108,300.0,14.0,4.109362616441226,300.0,12.0,1.9729518725751345,200.00000000000017,18.0
97,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_38108.spec.fits,4.968462,True,1.365197422429405e-20,,6.000150133159108,300.0,17.0,4.10186356141867,300.0,12.0,1.3630454442161861,200.00000000000017,10.0
98,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_4286.spec.fits,5.8352246,True,1.477175184448618e-20,,4.065971159662143,300.0,15.0,2.3287117229160503,300.0,11.0,2.0973035316038895,200.00000000000017,13.0
99,/content/LRDs/DeGraaff_espectros/uncover-v4_prism-clear_2561_45924.spec.fits,4.463361263885918,True,1.3570413251774176e-19,,1.6363842700217046,300.0,18.0,1.9314924465053684,300.0,11.0,3.4683589934323686,200.00000000000017,9.0
