filename,z,norm_factor,Ha_Hb_ratio,Ha_Hb_ratio_err,logL5100,logL5100_err,OIII_Hbeta_ratio,OIII_Hbeta_ratio_err,F2000N,F2000N_err,F5500N,F5500N_err,group
capers-cos07-v4_prism-clear_6368_43711.spec.fits,4.42044,2.5586333169172617e-20,8.131769834094708,0.28446971197156623,43.48831985957088,0.0043036819347683775,5.727709027491577,0.21401955466427294,2.5530562258844216,0.32432934707640243,1.3529010961309997,0.07052505039149887,G2
capers-cos10-v4_prism-clear_6368_30440.spec.fits,3.5045,2.1219600437583867e-20,7.822454902357007,0.5048145901181273,42.78242138665142,0.017787671944613948,5.374019931527641,0.36470036490854346,2.289895927198416,0.5443837800535204,0.6065798041343937,0.0847038961139424,G1
capers-cos10-v4_prism-clear_6368_32659.spec.fits,4.44217,5.286217371908486e-21,3.710558108309424,0.30862577426567883,42.844623883527134,0.02189729406786256,2.772763743774942,0.2621081432483346,3.8011055011549586,1.8134204436780639,1.2980280962174855,0.4776105336712195,G2
capers-cos19-v4_prism-clear_6368_4771.spec.fits,5.92735,4.01237914965181e-21,8.432723546613918,0.5403487697572174,43.16203767013268,0.017573215228686934,1.7768631544501996,0.12632710107663978,3.0925774966852155,1.7218168340524835,1.6546026818680573,0.5643737688707854,G2
capers-cos19-v4_prism-clear_6368_9226.spec.fits,3.7241027,6.832513630938611e-20,11.570908900921902,0.7920440676311999,43.605355503008,0.006026907729644648,6.001349473716506,0.42931069318869547,2.020107003108268,0.3470268005893336,0.878247582738744,0.06662561659159709,G1
capers-egs47-v4_prism-clear_6368_19300.spec.fits,4.5332627,1.3912524378577126e-20,11.355897640028996,0.8584951101460598,43.32191877350218,0.004905037784173061,1.517766042604321,0.12559040798666815,3.4677788449256455,0.439655996987262,1.4861421987918708,0.11728875630761541,G2
capers-egs47-v4_prism-clear_6368_212932.spec.fits,2.28602,2.976790982634036e-20,7.532162476641742,1.3385065902605855,42.64145373875038,0.010482985325278804,3.8214468023800383,0.6967447264423727,2.088488753079725,0.9299573421801902,0.8117379080416517,0.09362646452951841,G1
capers-egs49-v4_prism-clear_6368_11585.spec.fits,6.6958222,2.6560217610707316e-20,8.031413891928928,0.2969596963780292,44.33874260752753,0.0018935403537625461,0.8823689171088853,0.04247781581676698,1.620195108683637,0.2058479860886505,3.112701068303272,0.13640500580456194,G3
capers-egs49-v4_prism-clear_6368_8752.spec.fits,8.357495,1.4180632809806053e-20,,,44.000934995604425,0.005012753868683717,,,2.37233233003754,0.3025246306420858,1.5172021680698546,0.27565631306903765,G2
capers-egs53-v4_prism-clear_6368_10108.spec.fits,6.6230583,1.3180605809345321e-20,7.612188626447633,0.5532002205481339,43.537129235072904,0.007884017868736493,2.96997218666013,0.2318028074722149,2.7060704827335242,0.44560999522633477,0.9665201559422961,0.1950523586683081,G1
capers-egs61-v4_prism-clear_6368_23961.spec.fits,5.00191,8.363682535303359e-21,12.017115209131902,2.062632738790265,43.46080811306833,0.007601822031993777,2.1545826330901017,0.3935708509535764,1.4894416843698421,0.939042176754888,2.9225418115214628,0.3308608002205967,G3
capers-egs65-v4_prism-clear_6368_14197.spec.fits,7.152932,3.291380730195923e-21,16.0970869376235,1.3645829676522538,43.625878607712245,0.006729504927484697,1.4325648507732385,0.13859563724803517,3.0102689429326137,1.2133685344905647,4.54277555098239,0.7087367974377373,G4
capers-egs65-v4_prism-clear_6368_19799.spec.fits,4.2235518,1.701344836806552e-20,10.455018039638581,1.310929631366987,43.673089473914274,0.004251327821101825,2.4823606729844054,0.32668669277659157,1.9831895695492405,0.5454640073400061,3.324051224656393,0.1776938292679353,G3
capers-udsp1-v4_prism-clear_6368_23419.spec.fits,5.5160136,2.76088695419543e-20,9.09163499279163,0.29083106164140915,43.84605659553506,0.0038245032156218883,1.6581838294334317,0.059933013714888315,2.4750042146445113,0.3441835837992671,1.5059292502147787,0.10922427244742194,G2
capers-udsp2-v4_prism-clear_6368_10997.spec.fits,5.1536555,9.016578686005072e-21,8.301963545649006,0.987111280661785,43.70142518261946,0.005598585831485536,3.3917955160609394,0.4232447437000726,0.07736204672584213,1.2343995014145128,3.881509706809195,0.3794273572563505,G4
capers-udsp2-v4_prism-clear_6368_15322.spec.fits,3.70188,3.0207155456827203e-20,7.04272538634865,0.4841552535743583,43.57376983537519,0.003535752353538868,1.875623967323575,0.14001957989460698,1.8930893115550222,0.40839632771151996,1.9739610555465255,0.07996473821177201,G2
ceers-ddt-v4_prism-clear_2750_1768.spec.fits,5.0884247,5.241776784397869e-21,9.53582575892715,1.0925595859940591,43.10214798132198,0.011961185621437664,1.9429968297637654,0.23821627586513927,2.286463601821159,0.9952742076954019,1.88799059524638,0.3633488333764955,G2
