pid,srcid,root,file,ra,dec,zspec,Balmer_dec_total_0,Balmer_dec_total_1,Balmer_dec_total_2,Balmer_dec_total_3,Balmer_dec_total_4,LHa_total_0,LHa_total_1,LHa_total_2,LHa_total_3,LHa_total_4,LOIII_5007_0,LOIII_5007_1,LOIII_5007_2,LOIII_5007_3,LOIII_5007_4,logL_5100_0,logL_5100_1,logL_5100_2,logL_5100_3,logL_5100_4,LHb_total_2,LOIII/LHb,z,normalized,norm_factor,norm_error,median_flux_1500A,window_at_1500A,points_within_window1500A,median_flux_1900A,window_at_1900A,points_within_window1900A,median_flux_5500A,window_at_5500A,points_within_window5500A
6368,43711,capers-cos07-v4,capers-cos07-v4_prism-clear_6368_43711.spec.fits,150.1026261,2.2495968,4.42044,7.660733076365826,7.854380995259743,8.131769834094708,8.423320419202875,8.642883778788462,5.66830064134521e+42,5.704229658977337e+42,5.758590499288213e+42,5.815785615441006e+42,5.851864858340178e+42,4.0002635530672675e+42,4.019672211461111e+42,4.0561318705932496e+42,4.091591051727796e+42,4.115029311538609e+42,43.48106176765533,43.48370777397621,43.48831985957088,43.49231513784574,43.49498795560191,7.081595540424324e+41,5.727709027491577,4.42044,True,2.6962743125157868e-20,,3.312190922058724,300.0,19.0,2.6001503399715604,300.0,12.0,1.3108924961988822,200.00000000000017,8.0
6368,119334,capers-cos10-v4,capers-cos10-v4_prism-clear_6368_119334.spec.fits,150.13625319999,2.3080298,9.294025001594942,,,,,,,,,,,2.4763708865101272e+41,3.258824925463548e+41,4.353137437411636e+41,5.529166885967715e+41,6.301913828284637e+41,44.03254651833487,44.04842437930734,44.06506603171468,44.08164610437172,44.0933605421315,,,9.294025001594942,True,5.2924616223642355e-21,,2.78592598482968,300.0,16.0,2.629840494868307,300.0,17.0,,200.00000000000017,0.0
6368,30440,capers-cos10-v4,capers-cos10-v4_prism-clear_6368_30440.spec.fits,150.1209104,2.3179337,3.5045,7.001882235219924,7.3472972254615065,7.822454902357007,8.356926405697761,8.722396543598226,2.825815575203104e+42,2.852278164354228e+42,2.897210615561076e+42,2.936573111401152e+42,2.959783716991724e+42,1.940875161317002e+42,1.9639814756474676e+42,1.9903812534818632e+42,2.024246881070516e+42,2.0406350659382962e+42,42.75664665598025,42.76665980237488,42.78242138665142,42.80223514626411,42.82911434103221,3.703710218499449e+41,5.374019931527641,3.5045,True,2.0367658176287792e-20,,3.6531277253645618,300.0,25.0,2.3976963668386477,300.0,14.0,0.63867922500396,200.00000000000017,6.0
6368,32659,capers-cos10-v4,capers-cos10-v4_prism-clear_6368_32659.spec.fits,150.124025,2.3068265,4.44217,3.2114962852816817,3.408269477703654,3.710558108309424,4.025521026235012,4.282236231375097,7.447689570836648e+41,7.63128928273017e+41,7.921145353590334e+41,8.178680588265704e+41,8.344852544583678e+41,5.652777235621399e+41,5.749387596932176e+41,5.919180889910237e+41,6.089186776293459e+41,6.2202638804816144e+41,42.80685561639068,42.823929820141274,42.844623883527134,42.867724408277,42.88772678806035,2.134758470929675e+41,2.772763743774942,4.44217,True,5.62749790700307e-21,,5.166088882894242,300.0,19.0,4.510371591574829,300.0,11.0,1.3316734493918676,200.00000000000017,8.0
6368,9226,capers-cos19-v4,capers-cos19-v4_prism-clear_6368_9226.spec.fits,150.175938,2.4324301,3.7241027,10.322534738121645,10.786400062828235,11.570908900921902,12.370488198090635,13.004778439061807,1.1980861568711247e+43,1.2096595297854543e+43,1.2280809568958632e+43,1.2470750748435775e+43,1.259925460672838e+43,6.22217015843369e+42,6.279175523426207e+42,6.369545441465745e+42,6.459205795862366e+42,6.515543029281041e+42,43.59521005468707,43.599419421288054,43.605355503008,43.611473236747344,43.615555929982484,1.061352195762268e+42,6.001349473716506,3.7241027,True,6.923923315197775e-20,,3.2443936777535125,300.0,23.0,2.2461340075030485,300.0,13.0,0.8625794995889201,200.00000000000017,6.0
6368,19300,capers-egs47-v4,capers-egs47-v4_prism-clear_6368_19300.spec.fits,215.0220704,52.9207862,4.5332627,10.096179793628126,10.508444747825136,11.355897640028996,12.225434968117256,12.91106761959276,5.979156866137646e+42,6.029227738206074e+42,6.089302094570052e+42,6.152467561295497e+42,6.191093920731658e+42,7.72019006462845e+41,7.88232956630227e+41,8.138622093351479e+41,8.404580065881338e+41,8.576069799632026e+41,43.313951739135085,43.317367159377106,43.32191877350218,43.32717723494545,43.33097256651771,5.362237568173874e+41,1.517766042604321,4.5332627,True,1.4683694269280342e-20,,4.691114520818946,300.0,18.0,3.2088322303980013,300.0,11.0,1.4145215469399015,200.00000000000017,9.0
6368,212932,capers-egs47-v4,capers-egs47-v4_prism-clear_6368_212932.spec.fits,215.0096746,52.9285058,2.28602,5.791849099205031,6.362613284703692,7.532162476641742,9.039626465224863,10.222037697362358,1.2215250385506488e+42,1.2370143916625013e+42,1.2635169262684281e+42,1.2844246910776628e+42,1.3049745105942002e+42,6.0404720596083305e+41,6.186185718913675e+41,6.410460120337629e+41,6.6504248728456034e+41,6.846380185239423e+41,42.622699033098236,42.6309051201284,42.64145373875038,42.65187109077896,42.65920108712754,1.6774955800366303e+41,3.8214468023800383,2.28602,True,3.152960240821557e-20,,,300.0,1.0,1.803709608713504,300.0,22.0,0.7622833457099554,200.00000000000017,3.0
6368,11585,capers-egs49-v4,capers-egs49-v4_prism-clear_6368_11585.spec.fits,214.8922488,52.8774032,6.6958222,7.556281231759426,7.7331021467191885,8.031413891928928,8.327021539475247,8.53457707140309,4.689614575369579e+43,4.710010533177276e+43,4.743478646816098e+43,4.779119250188517e+43,4.799995369237483e+43,4.93946192903983e+42,5.045886030437826e+42,5.2114088169785484e+42,5.358105229202519e+42,5.4924225434490527e+42,44.33517641710222,44.33684691459608,44.33874260752753,44.340633995303605,44.34196921342834,5.906156388706352e+42,0.8823689171088853,6.6958222,True,2.6272340061599172e-20,,1.8852621034947687,300.0,14.0,1.7661642368677664,300.0,12.0,3.208067191490764,200.00000000000017,17.0
6368,8752,capers-egs49-v4,capers-egs49-v4_prism-clear_6368_8752.spec.fits,214.8761374,52.880826,8.357495,,,,,,,,,,,4.419542219835844e+42,4.4779388415464805e+42,4.553093699574317e+42,4.613170262422976e+42,4.666487410476545e+42,43.99112987876075,43.994951822682054,44.000934995604425,44.00497733041942,44.008192384099786,,,8.357495,True,1.4680116691136502e-20,,3.554065632825458,300.0,15.0,2.763696383869777,300.0,14.0,1.412826849531324,200.00000000000017,25.0
6368,10108,capers-egs53-v4,capers-egs53-v4_prism-clear_6368_10108.spec.fits,214.7975318,52.818752,6.6230583,6.756771964745928,7.018336160371637,7.612188626447633,8.124736601467905,8.523629364610356,5.659730174401883e+42,5.722281808140495e+42,5.838708975799153e+42,5.939922943531466e+42,6.010279043988771e+42,2.1989483432592768e+42,2.2297860847757886e+42,2.278031209562754e+42,2.3278094905970886e+42,2.359834413782085e+42,43.522163138685286,43.52887026939883,43.537129235072904,43.5446383051363,43.54989338777768,7.670210582424695e+41,2.96997218666013,6.6230583,True,1.4367038637970747e-20,,3.7989490991749646,300.0,15.0,2.6596993671675206,300.0,12.0,0.9044703424483278,200.00000000000017,17.0
