file,z,normalized,norm_factor,norm_window_min,norm_window_max,norm_error
macs0416-v4_prism-clear_1208_3104035.spec.fits,5.006783,True,9.511928860790137e-21,0.3546,0.3746,
macs0416-v4_prism-clear_1208_3104219.spec.fits,6.414142,True,1.3126868482838128e-20,0.3546,0.3746,
macs0417-v4_prism-clear_1208_205006.spec.fits,5.621284,True,8.254596993160325e-21,0.3546,0.3746,
macs1423-v4_prism-clear_1208_4103248.spec.fits,5.774661,True,1.1284814318476728e-20,0.3546,0.3746,
macs1423-v4_prism-clear_1208_4111584.spec.fits,4.0656843,True,6.626373469723195e-21,0.3546,0.3746,
macsj0647-v4_prism-clear_1433_1045.spec.fits,4.5276384,True,4.7168133407453736e-20,0.3546,0.3746,
nexus-obs3-v4_prism-clear_5105_10835.spec.fits,4.65012,True,1.1087881395363985e-20,0.3546,0.3746,
nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.38856,True,1.0882546243035837e-20,0.3546,0.3746,
nexus-obs3-v4_prism-clear_5105_12143.spec.fits,5.86735,True,1.970344397729655e-20,0.3546,0.3746,
nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.67055,True,3.041705988967581e-20,0.3546,0.3746,
nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.52104729497047,True,5.3354515108782164e-20,0.3546,0.3746,
nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.86932,True,8.05964917059704e-20,0.3546,0.3746,
nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.42207,True,1.4801639388751344e-20,0.3546,0.3746,
nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.21512,True,4.837038620901179e-20,0.3546,0.3746,
nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.86941,True,2.2698480815058688e-20,0.3546,0.3746,
rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.2878757,True,1.5427224478418463e-20,0.3546,0.3746,
rubies-egs51-v4_prism-clear_4233_927271.spec.fits,6.788556,True,9.631580462853113e-21,0.3546,0.3746,
rubies-egs52-v4_prism-clear_4233_29489.spec.fits,4.542522,True,7.459916907911285e-21,0.3546,0.3746,
rubies-egs52-v4_prism-clear_4233_37124.spec.fits,5.68516,True,1.2027954791073912e-20,0.3546,0.3746,
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.2845182,True,3.9402339937741596e-20,0.3546,0.3746,
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.988607,True,3.55454527754576e-20,0.3546,0.3746,
rubies-egs61-v4_prism-clear_4233_61496.spec.fits,5.083718,True,9.67667835610973e-21,0.3546,0.3746,
rubies-egs61-v4_prism-clear_4233_952625.spec.fits,5.1085505,True,3.433353875182314e-21,0.3546,0.3746,
rubies-egs62-v4_prism-clear_4233_42232.spec.fits,4.9565415,True,6.863190051160153e-21,0.3546,0.3746,
rubies-egs62-v4_prism-clear_4233_948917.spec.fits,6.7316566,True,2.1209992348287082e-20,0.3546,0.3746,
rubies-egs63-v4_prism-clear_4233_28812.spec.fits,4.228986,True,1.4056377483967242e-20,0.3546,0.3746,
rubies-egs63-v4_prism-clear_4233_38434.spec.fits,2.8590343,True,9.605978361776597e-21,0.3546,0.3746,
rubies-egs63-v4_prism-clear_4233_42232.spec.fits,4.954755,True,1.1655671442173263e-20,0.3546,0.3746,
rubies-egs63-v4_prism-clear_4233_42803.spec.fits,7.1516957,True,2.5805906559929976e-21,0.3546,0.3746,
rubies-egs63-v4_prism-clear_4233_49140.spec.fits,6.6877327,True,3.2637376099904256e-20,0.3546,0.3746,
rubies-uds1-v4_prism-clear_4233_11917.spec.fits,2.5857115,True,1.4748982853724125e-20,0.3546,0.3746,
rubies-uds1-v4_prism-clear_4233_31747.spec.fits,4.129401,True,1.175076748038531e-20,0.3546,0.3746,
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.113558,True,7.526855942117915e-20,0.3546,0.3746,
rubies-uds1-v4_prism-clear_4233_928474.spec.fits,6.929497,True,7.83519621239692e-21,0.3546,0.3746,
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.9519691,True,2.478966112814883e-20,0.3546,0.3746,
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717405,True,3.315759818153869e-20,0.3546,0.3746,
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.151636,True,1.3967685128309097e-20,0.3546,0.3746,
rubies-uds22-v4_prism-clear_4233_139709.spec.fits,5.68399,False,,,,Invalid normalization factor
rubies-uds23-v4_prism-clear_4233_144195.spec.fits,3.3547552,True,1.3131887383365982e-20,0.3546,0.3746,
rubies-uds23-v4_prism-clear_4233_167741.spec.fits,4.1157036,True,4.233324354883156e-20,0.3546,0.3746,
rubies-uds23-v4_prism-clear_4233_172350.spec.fits,5.5864534,True,1.7618306666577963e-20,0.3546,0.3746,
rubies-uds23-v4_prism-clear_4233_981721.spec.fits,7.206081,True,1.0247085004701774e-20,0.3546,0.3746,
rubies-uds3-v4_prism-clear_4233_47509.spec.fits,5.671981,True,2.5365174580702562e-20,0.3546,0.3746,
rubies-uds3-v4_prism-clear_4233_50716.spec.fits,6.170604,True,9.097287569116486e-21,0.3546,0.3746,
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,3.548925327627479,True,1.6054178808666557e-20,0.3546,0.3746,
rubies-uds31-v4_prism-clear_4233_981721.spec.fits,7.1974497,True,4.2500800548502386e-21,0.3546,0.3746,
rubies-uds33-v4_prism-clear_4233_29813.spec.fits,5.442071,True,1.283219285565333e-20,0.3546,0.3746,
rubies-uds33-v4_prism-clear_4233_53692.spec.fits,5.2792883,True,8.06464169036812e-21,0.3546,0.3746,
rubies-uds42-v4_prism-clear_4233_23438.spec.fits,3.6860464,True,2.133350005466974e-20,0.3546,0.3746,
rubies-uds42-v4_prism-clear_4233_807469.spec.fits,6.7795324,False,,,,Invalid normalization factor
rubies-uds43-v4_prism-clear_4233_40800.spec.fits,4.982409,True,4.331962247054984e-21,0.3546,0.3746,
rubies-uds43-v4_prism-clear_4233_848745.spec.fits,7.1175017,True,6.176382362351355e-21,0.3546,0.3746,
rxj2129-ddt-v4_prism-clear_2767_11024.spec.fits,4.2948875,True,1.3113355804094246e-20,0.3546,0.3746,
uncover-61-v4_prism-clear_2561_20698.spec.fits,2.417316,True,3.3069131251278717e-20,0.3546,0.3746,
uncover-61-v4_prism-clear_2561_21547.spec.fits,5.0578914,True,2.833167801946433e-20,0.3546,0.3746,
uncover-61-v4_prism-clear_2561_24968.spec.fits,6.3467827,True,9.57421942789275e-21,0.3546,0.3746,
uncover-61-v4_prism-clear_2561_27114.spec.fits,5.1957436,True,3.3310248911597338e-21,0.3546,0.3746,
uncover-62-v4_prism-clear_2561_24175.spec.fits,7.0356536,True,6.6344781864766366e-21,0.3546,0.3746,
