wave,flux,std,n_contrib
0.12122645262916354,43.005363194132364,34.34173818435855,3
0.12351929043634326,10.841349461583215,7.132070125637444,3
0.13039780385788238,7.386387382689783,5.601966496047051,3
0.13269064166506211,15.023729094151575,9.657005822572293,4
0.13498347947224182,12.124103056876896,8.447317961536038,5
0.13727631727942152,1.5251986527214478,1.6069853235023266,4
0.13956915508660123,8.21797657161983,5.598181660935496,5
0.14186199289378096,6.110551915844343,5.867471626609284,5
0.14415483070096066,4.97758759736718,2.935881424791451,5
0.14644766850814037,8.113908641017119,8.242760977472717,5
0.14874050631532007,5.011992286533799,3.84757367019642,5
0.1510333441224998,3.8681480353740874,2.107420331834135,4
0.1533261819296795,4.725557910336167,4.785031386901294,5
0.1556190197368592,6.32241075173666,8.69473385760277,5
0.1579118575440389,3.4708885745639706,4.2409527600720756,5
0.16020469535121865,3.59087219972445,0.8205992498515154,3
0.16249753315839835,4.131996812218682,2.2514046536718277,5
0.16479037096557805,2.830385700284838,2.4145393179822303,4
0.16708320877275776,5.73084190390015,6.0036049616376035,5
0.1693760465799375,3.1923843636942077,1.8386761866258234,5
0.1716688843871172,1.1857298443323363,1.099848134731444,5
0.1739617221942969,6.4050157547376845,4.148066152892956,5
0.1762545600014766,5.062941397241677,4.889514511514782,5
0.17854739780865633,4.379220765420501,2.4448599668582482,5
0.18084023561583604,3.933971615018167,3.992970110029626,5
0.18313307342301574,4.296027899541256,3.1211336319269236,5
0.18542591123019544,2.9012835073148957,2.846372560465476,5
0.18771874903737518,3.0496850045749584,2.5913994603494213,5
0.19001158684455488,5.349036134932293,4.639894900750643,5
0.19230442465173458,4.260799455604348,4.27259127414022,5
0.1945972624589143,3.7681660539587574,3.4095991184803904,5
0.19689010026609402,2.9432638408432976,1.7212412257839866,5
0.19918293807327372,1.6990329908415718,0.9683724776120566,5
0.20147577588045343,3.5911357776746926,1.9871367271404656,5
0.20376861368763316,5.617995629044367,3.681650171705092,5
0.20606145149481286,3.405209795399962,3.5808298665503235,5
0.20835428930199257,2.6426991706106766,2.556455346828246,5
0.21064712710917227,1.8903008712388754,1.9055355297511924,5
0.21293996491635198,3.8879160551255842,4.072818823323206,5
0.2152328027235317,3.328267158010932,1.6307075751973665,5
0.2175256405307114,4.148045101809361,2.0163434551019774,5
0.21981847833789112,4.327145821123318,2.628446252791225,5
0.22211131614507085,4.357550347851142,2.6396739661465496,5
0.22440415395225055,3.4579012311331936,2.5733715242195894,5
0.22669699175943026,2.8725655896075475,2.0931101106932672,5
0.22898982956660996,2.2342363824224796,1.564214861685473,5
0.23128266737378966,1.972181651600217,0.5708632631866337,5
0.2335755051809694,0.8814223182511725,1.1861950957703231,5
0.2358683429881491,1.0743379592320301,1.5361714134109905,5
0.2381611807953288,1.6211099255343477,0.8604007699391467,5
0.24045401860250853,3.435550418449816,2.7872611074865925,5
0.24274685640968824,4.83876218237828,4.5738090401205564,5
0.24503969421686794,3.5935351306088115,2.5278658848329645,5
0.24733253202404765,3.6050380322103592,2.9179979048929217,5
0.24962536983122735,3.1739175920676646,2.5038534520827165,5
0.25191820763840705,2.5468254817706955,0.8796040729139154,5
0.25421104544558676,3.5573053544954627,2.670075381836235,5
0.25650388325276646,4.237747804541468,3.867968723229185,5
0.2587967210599462,3.687014090631962,4.463933060757976,5
0.2610895588671259,2.7915859000166074,2.0007891206575605,5
0.26338239667430563,2.451023732113551,1.370909656616158,5
0.26567523448148533,2.488786764119971,2.125997881629921,5
0.26796807228866504,2.32577916886286,2.0668509531786414,5
0.27026091009584474,2.5769727817420316,1.2694741505772036,5
0.27255374790302445,2.2721341750428823,0.8284409129111011,5
0.27484658571020415,3.6713772868453214,2.007030254904837,5
0.2771394235173839,4.123617731842958,2.9141944134654527,5
0.2794322613245636,3.687873579408193,3.3970458593306234,5
0.2817250991317433,3.451447545026454,3.075141646080369,5
0.284017936938923,2.8193343714085075,2.2357908597959892,5
0.2863107747461027,2.3178684102540537,0.811990478677619,5
0.28860361255328243,1.6097080369997634,0.49862840045756646,5
0.29089645036046213,2.2594044332090673,0.9438008328560001,5
0.29318928816764184,3.148690858103234,1.8771833264279731,5
0.2954821259748216,3.0687883465383643,2.10122610637885,5
0.2977749637820013,2.9387597163197126,1.3358278715027907,5
0.300067801589181,1.9313775179420307,0.6214877448336413,5
0.3023606393963607,1.3888866165920173,0.6130113867443846,5
0.3046534772035404,1.2913203065728454,0.56932312563689,5
0.3069463150107201,1.808817706462829,0.7506919493922916,5
0.3092391528178998,1.8728451202065137,0.605314813728651,5
0.3115319906250795,1.97767405702342,1.0430428772767295,5
0.3138248284322593,1.988469934554233,1.4464988703432418,5
0.316117666239439,2.023548857330515,0.8478810356563466,5
0.3184105040466187,2.2416097383800997,0.6682714373874106,5
0.3207033418537984,2.254512101872746,0.6373337647789992,5
0.3229961796609781,2.354474212765778,1.2265678456195397,5
0.3252890174681578,2.760384757455898,1.754606571579271,5
0.3275818552753375,3.009467698138091,2.0691546127701117,5
0.32987469308251727,2.8226912412389957,2.211851626705706,5
0.33216753088969697,1.8334720840539531,0.9566411629135447,5
0.3344603686968767,1.2354083369792477,0.6286450129213237,5
0.3367532065040564,1.0167406065455882,0.7337607175775009,5
0.3390460443112361,1.2289961288379048,0.6864500203769727,5
0.3413388821184158,1.3671155227284806,0.606082343366833,5
0.3436317199255955,1.3975279245481285,0.9201961553400086,5
0.34592455773277525,1.2836953067398678,0.3465620476577103,5
0.34821739553995495,1.9409888374210684,1.755400555313304,5
0.35051023334713466,1.455057158592853,1.3641021065411851,5
0.35280307115431436,0.668466014723828,0.7136160004535613,5
0.35509590896149407,1.310679872642964,0.501242994216945,4
0.35738874676867377,0.7285072282886457,0.8117637064401441,5
0.3596815845758535,1.3150749749672253,0.8563178946221356,5
0.3619744223830332,2.052317016511695,2.323231719247261,5
0.3642672601902129,1.6457688218973074,1.4302232944417048,5
0.36656009799739264,1.5240118546563777,0.8419473029015392,5
0.36885293580457235,1.9045123089187381,0.8368526965304275,5
0.37114577361175205,2.3861324825361945,1.561700481559386,5
0.37343861141893175,1.8924100789054499,0.4786098745147447,5
0.37573144922611146,2.7682687003899646,1.3059778067138428,5
0.37802428703329116,3.4986698701332606,1.906133796041587,5
0.38031712484047087,2.8450294648150334,1.7070634570837024,5
0.3826099626476506,3.562523292061401,1.7009090097546402,5
0.38490280045483033,4.382637298995881,2.130781177031741,5
0.38719563826201003,5.099226538619393,2.6439764480279315,5
0.38948847606918974,4.734620786443043,2.0348777230408785,5
0.39178131387636944,4.2864293610708675,1.4636116040370983,5
0.39407415168354915,4.5066906484713725,1.5068694748568934,5
0.39636698949072885,4.6474570977800616,1.9386015375870382,5
0.39865982729790855,5.039242803602733,2.502702169789709,5
0.40095266510508826,5.631010214677771,2.309205270325401,5
0.403245502912268,5.655925960470541,2.804664745909478,5
0.4055383407194477,6.266762381420035,3.1103244765395117,5
0.4078311785266274,6.8362063963836786,3.097627154548885,5
0.41012401633380713,6.773393143583877,3.1989873371293207,5
0.41241685414098683,6.4443903385536085,3.031133820216692,5
0.41470969194816654,7.064782575005384,3.0889215042681877,5
0.41700252975534624,6.932108144443015,2.9803505574416955,5
0.419295367562526,7.307154831952602,3.516382341607386,5
0.4215882053697057,7.067445067067508,3.0107000868135305,5
0.4238810431768854,7.491338974223251,3.022183264186837,5
0.4261738809840651,7.41475666663668,2.897973500549944,5
0.4284667187912448,7.100837937152169,2.861212437618337,5
0.4307595565984245,7.802119858376386,2.982318931253835,5
0.4330523944056042,8.362808822042142,3.130623542874326,5
0.43534523221278393,8.772405367913668,3.2925202551496513,5
0.43763807001996363,9.629431121900524,4.0945277252320675,5
0.4399309078271434,8.514522789763998,3.3337008810122923,5
0.4422237456343231,8.117943057688997,3.1937817370531447,5
0.4445165834415028,7.673381052997337,3.29977021411027,5
0.4468094212486825,7.576194988221157,3.7058515926746263,5
0.4491022590558622,7.683814010498163,3.6659196895559023,5
0.4513950968630419,7.894213753345696,3.633097769211563,5
0.4536879346702216,7.468270149634248,3.462873544875384,5
0.4559807724774014,7.390863855163322,3.2654869722222477,5
0.4582736102845811,7.73103714477096,3.6674494246305795,5
0.4605664480917608,8.168213114370243,3.666247990067681,5
0.4628592858989405,8.294554688019375,3.959650219846997,5
0.4651521237061202,8.768664751535928,4.065215025746934,5
0.4674449615132999,8.793287185321354,3.861729783903043,5
0.4697377993204796,8.81273590906861,3.988410135485371,5
0.4720306371276593,8.966021701593062,4.044777777018267,5
0.474323474934839,9.009523668157678,4.2565026406757775,5
0.47661631274201877,9.228062334647287,3.954450802564962,5
0.47890915054919847,8.765104425825465,4.45058669684187,5
0.4812019883563782,10.684602341852159,4.653900907062741,5
0.4834948261635579,13.477382204831935,5.2719217204602575,5
0.4857876639707376,16.54829762984793,6.69735168861477,5
0.4880805017779173,16.04429446154512,6.666531990554122,5
0.490373339585097,12.874972021257907,4.673104002415197,5
0.49266617739227675,10.816548930246729,3.8956150328594092,5
0.49495901519945645,11.924536508298702,3.459620461566674,5
0.49725185300663616,13.79576242487027,4.554846481186605,5
0.49954469081381586,17.001640198,9.030743844854817,5
0.5018375286209955,18.378077593491668,12.154623710892704,5
0.5041303664281752,11.950337392844931,3.940296484984307,5
0.5064232042353549,10.018619057055957,4.361720391098267,5
0.5087160420425346,9.592621678687419,4.481716082660534,5
0.5110088798497143,10.061118302676181,4.619091577613382,5
0.5133017176568941,9.593800019107771,4.962793238688304,5
0.5155945554640738,9.89650430020253,4.379775764911721,5
0.5178873932712535,10.439328429385991,4.392219144509413,5
0.5201802310784333,9.56814613167421,4.394614583623653,5
0.522473068885613,9.641894217679988,3.864643312170149,5
0.5247659066927927,9.00724383059853,4.377236002193008,5
0.5270587444999724,10.560941106394697,4.522458096702049,5
