# file: DeGraaff_espectros/jades-gdn2-v4_prism-clear_1181_28074.spec.fits
# z: 2.2734878
# restframe: True
# input_flux_unit: uJy
# output_flux_type: flambda
# normalized: True
# norm_window: (0.3446, 0.3646)
# norm_factor: 3.184925070325716e-19
# --- data ---
wave,flux,err
0.16496166565826215,,
0.16587582539366535,,
0.16680496858701446,,
0.16774951088233322,24.990371894222452,5.975583112837625
0.16870979313031073,1.8462401333739917,0.29878517095792734
0.16968630784376057,2.7505000769584838,0.26689314392337465
0.17067939963160156,2.3874356638186147,0.32806182048735577
0.1716895799034289,2.1407096109508954,0.23816753734192042
0.17271726832348225,2.739867329784644,0.21930009060530015
0.1737629178852018,2.482657617904293,0.20829988790366002
0.1748270725146074,2.4622168406101883,0.1779783308089707
0.17591017530039718,2.824186644723298,0.20081837065457347
0.17701278632212455,2.577395746419791,0.1968009461222679
0.17813545494806332,2.3703883037205635,0.16425474913674584
0.17927869154520293,2.395216126929432,0.16148073023042736
0.18044312175488939,2.774206618698794,0.15305239858134156
0.18162935123675797,2.3369368608356953,0.1431030373984581
0.18283796344522715,2.573218376576508,0.16514825251266357
0.18406960722352564,2.438660445340554,0.1328074751384284
0.18532499780196243,2.2964609541816245,0.14208097605907274
0.18660479770355506,2.2272432467381504,0.1403638487850164
0.18790969948366068,2.5567802789592493,0.12569882416971942
0.18924045523980434,2.9715896396582,0.1488990665589732
0.19059787618269092,3.2171412924616924,0.12519116561690652
0.19198274245415156,2.174195968926203,0.12655448926732576
0.1933958672701641,1.982290228307032,0.10271520121233844
0.19483809777280497,1.9831043412627947,0.09941490016271287
0.1963103158668619,2.9767858452872678,0.14939512858904108
0.1978134649096028,2.1165361326428425,0.11310566776896919
0.19934851111946744,2.0484226853717566,0.09568627593812881
0.20091643698959544,2.011063022528631,0.09329854982412858
0.20251826199466613,1.8216944101302839,0.09805746440756795
0.20415504378468322,1.9008879183707044,0.08240994819404164
0.20582787890450746,1.7497758081207546,0.10198192254522935
0.2075379029234644,1.588147287949794,0.07871252041244692
0.20928629114039404,1.6035070526441,0.07314639390222191
0.211074259380153,1.8295491825748522,0.07077554317240732
0.2129030637327001,1.6350283066186753,0.06642084385556753
0.2147740011347638,1.9270857363403062,0.06752331325374987
0.21668841026389848,1.5861412380052398,0.05833645172571827
0.21864768731090903,1.6874827863108124,0.05550477642574624
0.2206532815967005,1.7527985738293297,0.05403638636311812
0.2227066606445409,2.2443185161956865,0.07176833100147362
0.22480933261378327,1.69304252595457,0.05003234876793754
0.22696284584591825,1.8037256618703041,0.05377472340809958
0.22916882752413115,1.4163056864069394,0.048776155893864574
0.23142893103427495,1.5188446168886094,0.044107430425157065
0.2337448243661768,1.3985764762157433,0.04167867665610357
0.2361182483867122,1.6215360921021371,0.04799192660557656
0.238550972364602,1.4528590931437957,0.039468263945743265
0.24104477846656802,1.3935649061749604,0.03880149909762045
0.24360152132284701,1.6200055728782514,0.0400696361027733
0.24622303760366174,1.4909729200672892,0.04337336485362486
0.24891122397434917,1.5075704824225555,0.04844399291272766
0.2516679670787601,1.4201287551169708,0.0383585707762691
0.25449517385267995,1.4585860627569194,0.0445433167131014
0.2573947560368746,1.3570929202789135,0.03550887774610484
0.26036861292154206,1.228657281278123,0.03420271539895843
0.26341863358201456,1.3913388073187463,0.03386628526806633
0.2665466763082912,1.4104919494665529,0.03966308999943461
0.26975455953884586,1.4087565466004968,0.035048821850770656
0.2730440536362464,1.3477753169269886,0.03498345106252527
0.2764168625280701,1.4098606027882523,0.03309499234666649
0.2798746100267324,1.3721088745049483,0.031913450181638825
0.2834188223185607,1.3542618105688724,0.033759064176842025
0.2870509126531833,1.3540609308372291,0.03078106585073484
0.29077216711637865,1.324707355461978,0.03233431439303112
0.29458369021178693,1.2213609948710662,0.02818654924632004
0.2984864276737264,1.2204554360698272,0.02708703223817557
0.30248116412018367,1.195961593607879,0.03027728790911198
0.30656845831826257,1.0477507156775339,0.030617731119879338
0.31074860028034307,1.0911959783998348,0.02307102618930672
0.3150217273950875,1.0529920748399868,0.02284684792650237
0.3193875856169021,1.152598548339695,0.021100580784192226
0.3238457692498291,1.1612357230045023,0.02448558001206874
0.32839551854640725,1.0437763505791784,0.022517629338513243
0.3330357645583627,1.052635105031721,0.019605744057314776
0.33776519170108826,0.9772835893542877,0.02194981571900684
0.34258216557978577,0.9689908096902792,0.017788965810884436
0.3474847311396173,1.0135605584409377,0.01773316954305034
