"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"ceers-v4","ceers-v4_g395m-f290lp_1345_746.spec.fits","214.8091416","52.8684835","746","jw01345061001_01_msa.fits","40","G395M_F290LP","3063.7","2.69","5.5","0.6","0.132","2025-01-22 21:28:18.438","0.9.5.dev2+g80b81b4","GBa23  z=5.614 ;  DKo24  z=5.620 ;  DKo23  z=5.624 ;  YHa23  z=5.624 ;  KNa23  z=5.626 ;  ILa22  z=N/A ;  VKo24  z=N/A","7","5.6231","5.6231","3","Auto","Redshift matches ceers-v4_prism-clear_1345_746 z=5.6298","","","FITS   d2d","","","0",""
"valentino-cosmos04-v4","valentino-cosmos04-v4_g235m-f170lp_3567_47567.spec.fits","150.10690937","2.36004861","47567","jw03567004001_01_msa.fits","22","G235M_F170LP","10504","1.61","4.36","0.4","0.115","2025-01-22 21:42:08.634","0.9.5.dev2+g80b81b4","VKo24  z=N/A","1","6.9983","6.9983","3","Auto","Redshift matches cosmos-transients-v3_prism-clear_6585_61234 z=6.9963","","","FITS   d2d","","","1",""
"egs-nelsonx-v4","egs-nelsonx-v4_g395m-f290lp_4106_47962.spec.fits","214.89247923","52.8568912","47962","jw04106006001_01_msa.fits","143","G395M_F290LP","3939","2.69","5.5","0.7","0.156","2025-01-22 23:21:24.374","0.9.5.dev2+g80b81b4","VKo24  z=N/A","1","6.7273","6.7273","3","Auto","Redshift matches egs-nelsonx-v3_g395m-f290lp_4106_47962 z=6.7294","","","FITS   d2d","","","1",""
"egs-nelsonx-v4","egs-nelsonx-v4_g395m-f290lp_4106_57146.spec.fits","214.89224643","52.87740951","57146","jw04106006001_01_msa.fits","116","G395M_F290LP","3939","2.69","5.5","0.5","0.205","2025-01-22 23:27:10.934","0.9.5.dev2+g80b81b4","DKo24  z=6.690 ;  VKo24  z=N/A","2","6.6859","6.6859","3","Auto","Redshift matches egs-nelsonx-v3_g395m-f290lp_4106_57146 z=6.6840","","","FITS   d2d","","","1",""
"egs-nelsonx-v4","egs-nelsonx-v4_g395m-f290lp_4106_71365.spec.fits","214.89554496","52.90672235","71365","jw04106006001_01_msa.fits","87","G395M_F290LP","3939","2.69","5.5","0.7","0.116","2025-01-22 23:20:34.770","0.9.5.dev2+g80b81b4","-","0","4.8004","4.8004","3","Auto","Redshift matches egs-nelsonx-v3_g395m-f290lp_4106_71365 z=4.7997","","","FITS   d2d","","","1",""
"egs-nelsonx-v4","egs-nelsonx-v4_g395m-f290lp_4106_85168.spec.fits","214.83065997","52.88777547","85168","jw04106006001_01_msa.fits","16","G395M_F290LP","3939","3.02","5.5","0.2","0.038","2025-01-22 23:11:33.005","0.9.5.dev2+g80b81b4","VKo24  z=N/A","1","7.7605","7.7605","3","Auto","Redshift matches egs-nelsonx-v3_g395m-f290lp_4106_85168 z=7.7607","","","FITS   d2d","","","1",""
"gto-wide-egs1-v4","gto-wide-egs1-v4_g235h-f170lp_1213_2974.spec.fits","215.12674558","53.04836497","2974","jw01213001001_01_msa.fits","70","G235H_F170LP","1604.8","1.66","2.59","0.3","0.193","2025-01-28 13:48:46.683","0.9.5.dev2+g80b81b4","MMa24  z=N/A","1","2.3202","2.3202","3","Auto","Redshift matches gto-wide-egs1-v3_prism-clear_1213_2974 z=2.3231","","","FITS   d2d","","","1",""
"gto-wide-uds11-v4","gto-wide-uds11-v4_g395h-f290lp_1215_4994.spec.fits","34.47112874","-5.19043288","4994","jw01215011001_01_msa.fits","196","G395H_F290LP","1750.7","2.83","3.94","0.4","0.271","2025-01-28 14:06:18.722","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  VKo24  z=N/A","2","5.5084","5.5084","3","Auto","Redshift matches gto-wide-uds11-v3_prism-clear_1215_4994 z=5.5050","","","FITS   d2d","","","1",""
"gto-wide-uds13-v4","gto-wide-uds13-v4_g235h-f170lp_1215_4273.spec.fits","34.36349549","-5.1769801","4273","jw01215013001_01_msa.fits","127","G235H_F170LP","1604.8","1.66","2.68","0.1","0.095","2025-01-28 14:04:45.408","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  DKo24  z=N/A","2","4.0532","4.0532","3","Auto","Redshift matches gto-wide-uds13-v3_prism-clear_1215_4273 z=4.0611","","","FITS   d2d","","","1",""
"gto-wide-uds14-v4","gto-wide-uds14-v4_g395h-f290lp_1215_4446.spec.fits","34.27071179","-5.21767054","4446","jw01215014001_01_msa.fits","70","G395H_F290LP","1750.7","2.83","4.33","0.7","0.668","2025-01-28 14:03:46.723","0.9.5.dev2+g80b81b4","DKo24  z=N/A ;  VKo24  z=N/A","2","4.6867","4.6867","3","Auto","Redshift matches gto-wide-uds14-v3_prism-clear_1215_4446 z=4.6909","","","FITS   d2d","","","1",""
